Airline,Duration,Total stops,Price,Date,Date scraped,Source_DUB,Source_IBZ,Source_MAD,Source_TFN,Destination_DUB,Destination_IBZ,Destination_MAD,Destination_TFN
"Aer Lingus, Vueling",580,1,121,2023-12-13,2023-05-12,1,0,0,0,0,0,1,0
Multiple Airlines,475,2,119,2023-12-13,2023-05-12,1,0,0,0,0,0,1,0
Aer Lingus,170,0,201,2023-12-14,2023-05-12,1,0,0,0,0,0,1,0
Iberia,155,0,177,2023-12-14,2023-05-12,1,0,0,0,0,0,1,0
"Vueling, Air Europa",650,1,75,2023-12-14,2023-05-12,1,0,0,0,0,0,1,0
Vueling,405,1,78,2023-12-14,2023-05-12,1,0,0,0,0,0,1,0
Aer Lingus,170,0,194,2023-12-14,2023-05-12,1,0,0,0,0,0,1,0
Iberia Express,155,0,203,2023-12-14,2023-05-12,1,0,0,0,0,0,1,0
Vueling,155,0,211,2023-12-14,2023-05-12,1,0,0,0,0,0,1,0
Aer Lingus,155,0,244,2023-12-14,2023-05-12,1,0,0,0,0,0,1,0
Iberia,155,0,250,2023-12-14,2023-05-12,1,0,0,0,0,0,1,0
Aer Lingus,155,0,251,2023-12-14,2023-05-12,1,0,0,0,0,0,1,0
Iberia,170,0,250,2023-12-14,2023-05-12,1,0,0,0,0,0,1,0
Iberia,155,0,256,2023-12-14,2023-05-12,1,0,0,0,0,0,1,0
"Vueling, Iberia",320,1,125,2023-12-14,2023-05-12,1,0,0,0,0,0,1,0
Vueling,650,1,83,2023-12-14,2023-05-12,1,0,0,0,0,0,1,0
"Aer Lingus, Iberia",345,1,139,2023-12-14,2023-05-12,1,0,0,0,0,0,1,0
Iberia Express,155,0,377,2023-12-14,2023-05-12,1,0,0,0,0,0,1,0
Aer Lingus,155,0,157,2023-12-15,2023-05-12,1,0,0,0,0,0,1,0
Iberia Express,155,0,127,2023-12-15,2023-05-12,1,0,0,0,0,0,1,0
"Aer Lingus, Iberia Express",1245,1,112,2023-12-15,2023-05-12,1,0,0,0,0,0,1,0
Vueling,155,0,128,2023-12-15,2023-05-12,1,0,0,0,0,0,1,0
Iberia,155,0,136,2023-12-15,2023-05-12,1,0,0,0,0,0,1,0
Aer Lingus,155,0,157,2023-12-15,2023-05-12,1,0,0,0,0,0,1,0
Aer Lingus,155,0,324,2023-12-15,2023-05-12,1,0,0,0,0,0,1,0
Iberia,155,0,327,2023-12-15,2023-05-12,1,0,0,0,0,0,1,0
Vueling,325,1,139,2023-12-15,2023-05-12,1,0,0,0,0,0,1,0
Aer Lingus,170,0,384,2023-12-15,2023-05-12,1,0,0,0,0,0,1,0
Iberia,170,0,435,2023-12-15,2023-05-12,1,0,0,0,0,0,1,0
"Vueling, Air Europa",325,1,130,2023-12-15,2023-05-12,1,0,0,0,0,0,1,0
"Vueling, Air Europa",380,1,172,2023-12-15,2023-05-12,1,0,0,0,0,0,1,0
"Vueling, Iberia",475,1,144,2023-12-15,2023-05-12,1,0,0,0,0,0,1,0
"Aer Lingus, Iberia Express",495,1,150,2023-12-15,2023-05-12,1,0,0,0,0,0,1,0
"Aer Lingus, easyJet",415,1,168,2023-12-15,2023-05-12,1,0,0,0,0,0,1,0
"Vueling, Iberia",385,1,188,2023-12-15,2023-05-12,1,0,0,0,0,0,1,0
"Aer Lingus, Binter Canarias",420,1,175,2023-11-12,2023-05-12,1,0,0,0,0,0,0,1
"Aer Lingus, Binter Canarias",480,1,175,2023-11-12,2023-05-12,1,0,0,0,0,0,0,1
"Aer Lingus, Binter Canarias",370,1,316,2023-11-12,2023-05-12,1,0,0,0,0,0,0,1
Multiple Airlines,590,2,179,2023-11-12,2023-05-12,1,0,0,0,0,0,0,1
"Aer Lingus, Binter Canarias",520,1,295,2023-11-12,2023-05-12,1,0,0,0,0,0,0,1
Multiple Airlines,600,2,189,2023-11-12,2023-05-12,1,0,0,0,0,0,0,1
Multiple Airlines,590,2,205,2023-11-12,2023-05-12,1,0,0,0,0,0,0,1
Multiple Airlines,770,2,197,2023-11-12,2023-05-12,1,0,0,0,0,0,0,1
Multiple Airlines,665,2,237,2023-11-12,2023-05-12,1,0,0,0,0,0,0,1
Multiple Airlines,665,2,241,2023-11-12,2023-05-12,1,0,0,0,0,0,0,1
Multiple Airlines,770,2,223,2023-11-12,2023-05-12,1,0,0,0,0,0,0,1
Multiple Airlines,1080,2,188,2023-11-12,2023-05-12,1,0,0,0,0,0,0,1
Multiple Airlines,770,3,268,2023-11-12,2023-05-12,1,0,0,0,0,0,0,1
Multiple Airlines,1080,2,194,2023-11-12,2023-05-12,1,0,0,0,0,0,0,1
Multiple Airlines,900,3,245,2023-11-12,2023-05-12,1,0,0,0,0,0,0,1
"Aer Lingus, Binter Canarias",420,1,155,2023-12-12,2023-05-12,1,0,0,0,0,0,0,1
"Aer Lingus, Binter Canarias",480,1,139,2023-12-12,2023-05-12,1,0,0,0,0,0,0,1
"Aer Lingus, Binter Canarias",435,1,208,2023-12-12,2023-05-12,1,0,0,0,0,0,0,1
"Aer Lingus, Vueling",440,1,225,2023-12-12,2023-05-12,1,0,0,0,0,0,0,1
"Aer Lingus, Binter Canarias",540,1,155,2023-12-12,2023-05-12,1,0,0,0,0,0,0,1
Iberia,555,1,228,2023-12-12,2023-05-12,1,0,0,0,0,0,0,1
"Aer Lingus, Binter Canarias",495,2,187,2023-12-12,2023-05-12,1,0,0,0,0,0,0,1
"Aer Lingus, Vueling",725,1,153,2023-12-12,2023-05-12,1,0,0,0,0,0,0,1
British Airways,500,1,506,2023-12-12,2023-05-12,1,0,0,0,0,0,0,1
Iberia,670,1,349,2023-12-12,2023-05-12,1,0,0,0,0,0,0,1
British Airways,670,1,370,2023-12-12,2023-05-12,1,0,0,0,0,0,0,1
Vueling,670,1,392,2023-12-12,2023-05-12,1,0,0,0,0,0,0,1
Multiple Airlines,555,2,210,2023-12-12,2023-05-12,1,0,0,0,0,0,0,1
Multiple Airlines,590,2,198,2023-12-12,2023-05-12,1,0,0,0,0,0,0,1
Multiple Airlines,620,2,199,2023-12-12,2023-05-12,1,0,0,0,0,0,0,1
Vueling,575,1,137,2023-12-13,2023-05-12,1,0,0,0,0,0,0,1
Vueling,1440,1,93,2023-12-13,2023-05-12,1,0,0,0,0,0,0,1
"Aer Lingus, Vueling",440,1,179,2023-12-13,2023-05-12,1,0,0,0,0,0,0,1
"Aer Lingus, Binter Canarias",370,1,257,2023-12-13,2023-05-12,1,0,0,0,0,0,0,1
"Aer Lingus, Iberia",565,2,158,2023-12-13,2023-05-12,1,0,0,0,0,0,0,1
"Aer Lingus, Binter Canarias",520,1,224,2023-12-13,2023-05-12,1,0,0,0,0,0,0,1
Iberia,575,1,384,2023-12-13,2023-05-12,1,0,0,0,0,0,0,1
Iberia,860,1,171,2023-12-13,2023-05-12,1,0,0,0,0,0,0,1
"Aer Lingus, Binter Canarias",600,1,203,2023-12-13,2023-05-12,1,0,0,0,0,0,0,1
British Airways,860,1,181,2023-12-13,2023-05-12,1,0,0,0,0,0,0,1
"Vueling, Air Europa",830,1,161,2023-12-13,2023-05-12,1,0,0,0,0,0,0,1
"Aer Lingus, Vueling",725,1,176,2023-12-13,2023-05-12,1,0,0,0,0,0,0,1
Multiple Airlines,650,2,181,2023-12-13,2023-05-12,1,0,0,0,0,0,0,1
"Vueling, Binter Canarias",765,2,215,2023-12-13,2023-05-12,1,0,0,0,0,0,0,1
Vueling,565,2,351,2023-12-13,2023-05-12,1,0,0,0,0,0,0,1
Iberia,935,1,171,2023-12-13,2023-05-12,1,0,0,0,0,0,0,1
"Aer Lingus, Binter Canarias",390,1,194,2023-12-14,2023-05-12,1,0,0,0,0,0,0,1
Vueling,1415,1,100,2023-12-14,2023-05-12,1,0,0,0,0,0,0,1
Vueling,550,1,107,2023-12-14,2023-05-12,1,0,0,0,0,0,0,1
"Aer Lingus, Vueling",440,1,158,2023-12-14,2023-05-12,1,0,0,0,0,0,0,1
"Aer Lingus, Binter Canarias",450,1,186,2023-12-14,2023-05-12,1,0,0,0,0,0,0,1
"Aer Lingus, Binter Canarias",525,1,186,2023-12-14,2023-05-12,1,0,0,0,0,0,0,1
"Aer Lingus, Binter Canarias",490,1,231,2023-12-14,2023-05-12,1,0,0,0,0,0,0,1
Multiple Airlines,560,2,199,2023-12-14,2023-05-12,1,0,0,0,0,0,0,1
Multiple Airlines,585,2,212,2023-12-14,2023-05-12,1,0,0,0,0,0,0,1
Iberia,555,1,291,2023-12-14,2023-05-12,1,0,0,0,0,0,0,1
"Aer Lingus, Vueling",725,1,130,2023-12-14,2023-05-12,1,0,0,0,0,0,0,1
Multiple Airlines,555,2,263,2023-12-14,2023-05-12,1,0,0,0,0,0,0,1
Iberia,610,1,291,2023-12-14,2023-05-12,1,0,0,0,0,0,0,1
Vueling,730,2,168,2023-12-14,2023-05-12,1,0,0,0,0,0,0,1
Iberia,550,1,362,2023-12-14,2023-05-12,1,0,0,0,0,0,0,1
Iberia,835,1,196,2023-12-14,2023-05-12,1,0,0,0,0,0,0,1
"Aer Lingus, Binter Canarias",440,1,199,2023-12-15,2023-05-12,1,0,0,0,0,0,0,1
Vueling,1090,1,153,2023-12-15,2023-05-12,1,0,0,0,0,0,0,1
"Aer Lingus, Binter Canarias",585,1,169,2023-12-15,2023-05-12,1,0,0,0,0,0,0,1
"Aer Lingus, Binter Canarias",520,1,199,2023-12-15,2023-05-12,1,0,0,0,0,0,0,1
"Aer Lingus, Binter Canarias",430,2,205,2023-12-15,2023-05-12,1,0,0,0,0,0,0,1
"Aer Lingus, Binter Canarias",600,1,199,2023-12-15,2023-05-12,1,0,0,0,0,0,0,1
"Aer Lingus, Vueling",440,1,333,2023-12-15,2023-05-12,1,0,0,0,0,0,0,1
Iberia,865,1,196,2023-12-15,2023-05-12,1,0,0,0,0,0,0,1
Iberia,940,1,196,2023-12-15,2023-05-12,1,0,0,0,0,0,0,1
British Airways,865,1,206,2023-12-15,2023-05-12,1,0,0,0,0,0,0,1
"Iberia, Air Europa",780,2,172,2023-12-15,2023-05-12,1,0,0,0,0,0,0,1
Iberia Express,865,1,193,2023-12-15,2023-05-12,1,0,0,0,0,0,0,1
Multiple Airlines,590,2,218,2023-12-15,2023-05-12,1,0,0,0,0,0,0,1
"Iberia, Iberia Express",865,1,205,2023-12-15,2023-05-12,1,0,0,0,0,0,0,1
"Iberia Express, Air Europa",835,1,223,2023-12-15,2023-05-12,1,0,0,0,0,0,0,1
Vueling,1120,1,82,2023-11-12,2023-05-12,0,1,0,0,1,0,0,0
"Vueling, Aer Lingus",400,1,200,2023-11-12,2023-05-12,0,1,0,0,1,0,0,0
British Airways,380,1,282,2023-11-12,2023-05-12,0,1,0,0,1,0,0,0
"Iberia, British Airways",380,1,307,2023-11-12,2023-05-12,0,1,0,0,1,0,0,0
British Airways,465,1,265,2023-11-12,2023-05-12,0,1,0,0,1,0,0,0
CitizenPlane,1120,1,98,2023-11-12,2023-05-12,0,1,0,0,1,0,0,0
"Vueling, Aer Lingus",475,2,209,2023-11-12,2023-05-12,0,1,0,0,1,0,0,0
British Airways,430,1,297,2023-11-12,2023-05-12,0,1,0,0,1,0,0,0
Iberia,355,1,372,2023-11-12,2023-05-12,0,1,0,0,1,0,0,0
"Iberia, Transavia",550,2,193,2023-11-12,2023-05-12,0,1,0,0,1,0,0,0
"Iberia, British Airways",465,1,285,2023-11-12,2023-05-12,0,1,0,0,1,0,0,0
British Airways,525,1,265,2023-11-12,2023-05-12,0,1,0,0,1,0,0,0
"Iberia Express, Aer Lingus",330,1,391,2023-11-12,2023-05-12,0,1,0,0,1,0,0,0
"Vueling, Aer Lingus",1080,1,123,2023-11-12,2023-05-12,0,1,0,0,1,0,0,0
British Airways,505,1,282,2023-11-12,2023-05-12,0,1,0,0,1,0,0,0
Vueling,440,1,68,2023-12-12,2023-05-12,0,1,0,0,1,0,0,0
Vueling,820,1,57,2023-12-12,2023-05-12,0,1,0,0,1,0,0,0
"Vueling, Aer Lingus",400,1,109,2023-12-12,2023-05-12,0,1,0,0,1,0,0,0
"Iberia, Aer Lingus",330,1,166,2023-12-12,2023-05-12,0,1,0,0,1,0,0,0
"Vueling, Aer Lingus",330,1,175,2023-12-12,2023-05-12,0,1,0,0,1,0,0,0
Vueling,955,1,57,2023-12-12,2023-05-12,0,1,0,0,1,0,0,0
British Airways,380,1,238,2023-12-12,2023-05-12,0,1,0,0,1,0,0,0
Vueling,1100,1,57,2023-12-12,2023-05-12,0,1,0,0,1,0,0,0
CitizenPlane,820,1,74,2023-12-12,2023-05-12,0,1,0,0,1,0,0,0
British Airways,465,1,211,2023-12-12,2023-05-12,0,1,0,0,1,0,0,0
British Airways,440,1,227,2023-12-12,2023-05-12,0,1,0,0,1,0,0,0
Vueling,405,2,162,2023-12-12,2023-05-12,0,1,0,0,1,0,0,0
"Iberia, British Airways",380,1,274,2023-12-12,2023-05-12,0,1,0,0,1,0,0,0
"Iberia, British Airways",465,1,227,2023-12-12,2023-05-12,0,1,0,0,1,0,0,0
British Airways,525,1,211,2023-12-12,2023-05-12,0,1,0,0,1,0,0,0
Iberia,350,1,65,2023-12-13,2023-05-12,0,1,0,0,1,0,0,0
Vueling,845,1,46,2023-12-13,2023-05-12,0,1,0,0,1,0,0,0
Iberia Express,350,1,71,2023-12-13,2023-05-12,0,1,0,0,1,0,0,0
"Iberia, Iberia Express",350,1,73,2023-12-13,2023-05-12,0,1,0,0,1,0,0,0
"Iberia Express, Iberia",350,1,77,2023-12-13,2023-05-12,0,1,0,0,1,0,0,0
British Airways,350,1,108,2023-12-13,2023-05-12,0,1,0,0,1,0,0,0
Vueling,350,1,141,2023-12-13,2023-05-12,0,1,0,0,1,0,0,0
"Vueling, Aer Lingus",400,1,111,2023-12-13,2023-05-12,0,1,0,0,1,0,0,0
CitizenPlane,845,1,60,2023-12-13,2023-05-12,0,1,0,0,1,0,0,0
Iberia,820,1,69,2023-12-13,2023-05-12,0,1,0,0,1,0,0,0
British Airways,380,1,269,2023-12-13,2023-05-12,0,1,0,0,1,0,0,0
"Iberia, British Airways",455,2,130,2023-12-13,2023-05-12,0,1,0,0,1,0,0,0
Iberia Express,820,1,64,2023-12-13,2023-05-12,0,1,0,0,1,0,0,0
British Airways,465,1,211,2023-12-13,2023-05-12,0,1,0,0,1,0,0,0
"Iberia, Iberia Express",820,1,67,2023-12-13,2023-05-12,0,1,0,0,1,0,0,0
"Vueling, Aer Lingus",345,1,91,2023-12-14,2023-05-12,0,1,0,0,1,0,0,0
Vueling,1445,1,58,2023-12-14,2023-05-12,0,1,0,0,1,0,0,0
British Airways,355,1,124,2023-12-14,2023-05-12,0,1,0,0,1,0,0,0
Iberia,355,1,97,2023-12-14,2023-05-12,0,1,0,0,1,0,0,0
"Iberia, Iberia Express",355,1,93,2023-12-14,2023-05-12,0,1,0,0,1,0,0,0
"Air Europa, Aer Lingus",490,1,76,2023-12-14,2023-05-12,0,1,0,0,1,0,0,0
"Vueling, Iberia Express",355,1,98,2023-12-14,2023-05-12,0,1,0,0,1,0,0,0
"Vueling, Aer Lingus",485,1,69,2023-12-14,2023-05-12,0,1,0,0,1,0,0,0
"Vueling, Iberia",355,1,103,2023-12-14,2023-05-12,0,1,0,0,1,0,0,0
"Vueling, Aer Lingus",545,1,69,2023-12-14,2023-05-12,0,1,0,0,1,0,0,0
"Vueling, Aer Lingus",400,1,117,2023-12-14,2023-05-12,0,1,0,0,1,0,0,0
Vueling,355,1,156,2023-12-14,2023-05-12,0,1,0,0,1,0,0,0
"Vueling, Aer Lingus",585,1,102,2023-12-14,2023-05-12,0,1,0,0,1,0,0,0
Iberia,610,1,116,2023-12-14,2023-05-12,0,1,0,0,1,0,0,0
"Vueling, Aer Lingus",510,2,136,2023-12-14,2023-05-12,0,1,0,0,1,0,0,0
"Iberia, British Airways",460,2,167,2023-12-14,2023-05-12,0,1,0,0,1,0,0,0
Vueling,485,1,53,2023-12-15,2023-05-12,0,1,0,0,1,0,0,0
