Airline,Source,Destination,Duration,Total stops,Price,Date,Date scraped
British Airways,IBZ,DUB,8h 45m,1 stop,€336,15/12/2023,15/12/2023
"Vueling, Aer Lingus",IBZ,DUB,9h 35m,1 stop,€272,15/12/2023,15/12/2023
Iberia,IBZ,DUB,5h 30m,1 stop,€526,15/12/2023,15/12/2023
British Airways,IBZ,DUB,9h 45m,1 stop,€321,15/12/2023,15/12/2023
Iberia,IBZ,DUB,5h 55m,1 stop,€509,15/12/2023,15/12/2023
Iberia Express,MAD,DUB,2h 40m,direct,€60,15/12/2023,15/12/2023
Iberia,MAD,DUB,2h 40m,direct,€61,15/12/2023,15/12/2023
Vueling,MAD,DUB,2h 40m,direct,€71,15/12/2023,15/12/2023
Aer Lingus,MAD,DUB,2h 40m,direct,€105,15/12/2023,15/12/2023
Aer Lingus,MAD,DUB,2h 45m,direct,€114,15/12/2023,15/12/2023
Iberia,MAD,DUB,2h 45m,direct,€143,15/12/2023,15/12/2023
Aer Lingus,MAD,DUB,2h 40m,direct,€144,15/12/2023,15/12/2023
Iberia,MAD,DUB,2h 40m,direct,€184,15/12/2023,15/12/2023
Air France,MAD,DUB,5h 25m,1 stop,€142,15/12/2023,15/12/2023
"Air Europa, Transavia France",MAD,DUB,5h 45m,1 stop,€155,15/12/2023,15/12/2023
British Airways,MAD,DUB,5h 50m,1 stop,€193,15/12/2023,15/12/2023
"Iberia, British Airways",MAD,DUB,5h 50m,1 stop,€197,15/12/2023,15/12/2023
British Airways,MAD,DUB,5h 00m,1 stop,€291,15/12/2023,15/12/2023
British Airways,MAD,DUB,6h 05m,1 stop,€208,15/12/2023,15/12/2023
British Airways,MAD,DUB,6h 25m,1 stop,€193,15/12/2023,15/12/2023
Iberia,TFN,DUB,7h 00m,1 stop,€263,15/12/2023,15/12/2023
Vueling,TFN,DUB,17h 40m,1 stop,€151,15/12/2023,15/12/2023
Iberia,TFN,DUB,13h 45m,1 stop,€164,15/12/2023,15/12/2023
"Air Europa, Aer Lingus",TFN,DUB,8h 15m,1 stop,€237,15/12/2023,15/12/2023
"Canaryfly, Aer Lingus",TFN,DUB,8h 15m,1 stop,€239,15/12/2023,15/12/2023
Iberia,TFN,DUB,14h 40m,1 stop,€164,15/12/2023,15/12/2023
Iberia,TFN,DUB,8h 40m,1 stop,€271,15/12/2023,15/12/2023
"Binter Canarias, Aer Lingus",TFN,DUB,9h 40m,1 stop,€244,15/12/2023,15/12/2023
"Binter Canarias, Aer Lingus",TFN,DUB,7h 50m,2 stops,€283,15/12/2023,15/12/2023
Iberia Express,TFN,DUB,13h 45m,1 stop,€178,15/12/2023,15/12/2023
Iberia,TFN,DUB,17h 25m,1 stop,€182,15/12/2023,15/12/2023
"Iberia Express, Iberia",TFN,DUB,13h 45m,1 stop,€185,15/12/2023,15/12/2023
Iberia,TFN,DUB,10h 30m,1 stop,€271,15/12/2023,15/12/2023
"Iberia, Iberia Express",TFN,DUB,13h 45m,1 stop,€186,15/12/2023,15/12/2023
Iberia Express,TFN,DUB,14h 40m,1 stop,€200,15/12/2023,15/12/2023
