Airline,Source,Destination,Duration,Total stops,Price,Date
Aer Lingus,MAD,DUB,2h 40m,direct,€126,2023-12-11
Iberia Express,MAD,DUB,2h 40m,direct,€125,2023-12-11
"Iberia Express, Aer Lingus",MAD,DUB,12h 35m,1 stop,€76,2023-12-11
Aer Lingus,MAD,DUB,2h 40m,direct,€126,2023-12-11
Iberia,MAD,DUB,2h 40m,direct,€126,2023-12-11
Aer Lingus,MAD,DUB,2h 45m,direct,€140,2023-12-11
Vueling,MAD,DUB,2h 40m,direct,€147,2023-12-11
British Airways,MAD,DUB,2h 40m,direct,€181,2023-12-11
Iberia,MAD,DUB,2h 45m,direct,€200,2023-12-11
British Airways,MAD,DUB,2h 45m,direct,€260,2023-12-11
"Iberia Express, Aer Lingus",MAD,DUB,6h 55m,1 stop,€107,2023-12-11
"Iberia, Aer Lingus",MAD,DUB,6h 55m,1 stop,€109,2023-12-11
Air France,MAD,DUB,5h 25m,1 stop,€143,2023-12-11
"Air Europa, Transavia France",MAD,DUB,5h 50m,1 stop,€140,2023-12-11
British Airways,MAD,DUB,5h 50m,1 stop,€179,2023-12-11
"Iberia, British Airways",MAD,DUB,5h 50m,1 stop,€186,2023-12-11
"British Airways, Aer Lingus",MAD,DUB,6h 55m,1 stop,€158,2023-12-11
Aer Lingus,MAD,DUB,2h 45m,direct,€67,2023-12-12
Iberia Express,MAD,DUB,2h 30m,direct,€41,2023-12-12
Iberia,MAD,DUB,2h 30m,direct,€42,2023-12-12
Vueling,MAD,DUB,2h 30m,direct,€53,2023-12-12
Aer Lingus,MAD,DUB,2h 45m,direct,€61,2023-12-12
Iberia,MAD,DUB,2h 45m,direct,€66,2023-12-12
Aer Lingus,MAD,DUB,2h 30m,direct,€75,2023-12-12
British Airways,MAD,DUB,2h 30m,direct,€78,2023-12-12
British Airways,MAD,DUB,2h 45m,direct,€103,2023-12-12
Vueling,MAD,DUB,5h 30m,1 stop,€81,2023-12-12
British Airways,MAD,DUB,4h 50m,1 stop,€137,2023-12-12
British Airways,MAD,DUB,5h 50m,1 stop,€122,2023-12-12
Air France,MAD,DUB,5h 25m,1 stop,€141,2023-12-12
British Airways,MAD,DUB,6h 15m,1 stop,€122,2023-12-12
British Airways,MAD,DUB,6h 05m,1 stop,€127,2023-12-12
British Airways,MAD,DUB,6h 25m,1 stop,€124,2023-12-12
Aer Lingus,MAD,DUB,2h 40m,direct,€75,2023-12-13
Iberia,MAD,DUB,2h 40m,direct,€42,2023-12-13
Iberia Express,MAD,DUB,2h 40m,direct,€40,2023-12-13
Vueling,MAD,DUB,2h 40m,direct,€53,2023-12-13
Aer Lingus,MAD,DUB,2h 40m,direct,€75,2023-12-13
British Airways,MAD,DUB,2h 40m,direct,€78,2023-12-13
Transavia France,MAD,DUB,6h 40m,1 stop,€90,2023-12-13
"Air Europa, Transavia France",MAD,DUB,5h 45m,1 stop,€103,2023-12-13
British Airways,MAD,DUB,5h 15m,1 stop,€152,2023-12-13
British Airways,MAD,DUB,5h 25m,1 stop,€152,2023-12-13
