Airline,Source,Destination,Duration,Total stops,Price,Date
"Aer Lingus, Binter Canarias",DUB,TFN,7h 00m,1 stop,€197,2023-12-11
"Aer Lingus, Binter Canarias",DUB,TFN,8h 00m,1 stop,€197,2023-12-11
Multiple Airlines,DUB,TFN,9h 50m,2 stops,€224,2023-12-11
Multiple Airlines,DUB,TFN,16h 15m,2 stops,€224,2023-12-11
Multiple Airlines,DUB,TFN,12h 50m,2 stops,€226,2023-12-11
Multiple Airlines,DUB,TFN,16h 45m,2 stops,€217,2023-12-11
Multiple Airlines,DUB,TFN,18h 00m,2 stops,€226,2023-12-11
Multiple Airlines,DUB,TFN,17h 45m,2 stops,€226,2023-12-11
Multiple Airlines,DUB,TFN,18h 05m,2 stops,€240,2023-12-11
Vueling,DUB,TFN,19h 30m,2 stops,€246,2023-12-11
"Aer Lingus, Vueling",DUB,TFN,17h 50m,2 stops,€259,2023-12-11
Multiple Airlines,DUB,TFN,19h 45m,2 stops,€223,2023-12-11
Multiple Airlines,DUB,TFN,20h 10m,2 stops,€226,2023-12-11
Iberia,DUB,TFN,19h 20m,1 stop,€368,2023-12-11
Vueling,DUB,TFN,19h 30m,2 stops,€353,2023-12-11
"Aer Lingus, Binter Canarias",DUB,TFN,7h 00m,1 stop,€194,2023-12-12
"Aer Lingus, Binter Canarias",DUB,TFN,8h 00m,1 stop,€177,2023-12-12
"Aer Lingus, Binter Canarias",DUB,TFN,7h 15m,1 stop,€219,2023-12-12
"Aer Lingus, Binter Canarias",DUB,TFN,6h 10m,1 stop,€315,2023-12-12
"Aer Lingus, Binter Canarias",DUB,TFN,9h 00m,1 stop,€186,2023-12-12
"Aer Lingus, Vueling",DUB,TFN,7h 20m,1 stop,€290,2023-12-12
Iberia,DUB,TFN,9h 15m,1 stop,€286,2023-12-12
"Aer Lingus, Binter Canarias",DUB,TFN,8h 15m,2 stops,€199,2023-12-12
Multiple Airlines,DUB,TFN,9h 20m,2 stops,€218,2023-12-12
"Aer Lingus, Vueling",DUB,TFN,12h 05m,1 stop,€218,2023-12-12
Multiple Airlines,DUB,TFN,9h 50m,2 stops,€216,2023-12-12
Multiple Airlines,DUB,TFN,10h 20m,2 stops,€205,2023-12-12
Multiple Airlines,DUB,TFN,11h 20m,2 stops,€218,2023-12-12
"KLM, Vueling",DUB,TFN,13h 25m,2 stops,€335,2023-12-12
British Airways,DUB,TFN,11h 45m,2 stops,€727,2023-12-12
Vueling,DUB,TFN,9h 35m,1 stop,€145,2023-12-13
Vueling,DUB,TFN,24h 00m,1 stop,€97,2023-12-13
"Aer Lingus, Binter Canarias",DUB,TFN,8h 40m,1 stop,€242,2023-12-13
"Aer Lingus, Binter Canarias",DUB,TFN,10h 00m,1 stop,€242,2023-12-13
Iberia,DUB,TFN,9h 35m,1 stop,€371,2023-12-13
"Iberia Express, Air Europa",DUB,TFN,13h 50m,1 stop,€194,2023-12-13
Iberia,DUB,TFN,14h 20m,1 stop,€220,2023-12-13
"Aer Lingus, Vueling",DUB,TFN,12h 05m,1 stop,€230,2023-12-13
Iberia Express,DUB,TFN,14h 20m,1 stop,€193,2023-12-13
Vueling,DUB,TFN,9h 25m,2 stops,€385,2023-12-13
Vueling,DUB,TFN,14h 20m,1 stop,€269,2023-12-13
"Aer Lingus, Air Europa",DUB,TFN,13h 50m,1 stop,€242,2023-12-13
British Airways,DUB,TFN,14h 20m,1 stop,€310,2023-12-13
Iberia,DUB,TFN,15h 35m,1 stop,€238,2023-12-13
"KLM, Iberia",DUB,TFN,10h 45m,2 stops,€347,2023-12-13
Vueling,DUB,TFN,15h 35m,1 stop,€269,2023-12-13
Vueling,DUB,TFN,9h 10m,1 stop,€155,2023-12-14
"Aer Lingus, Binter Canarias",DUB,TFN,7h 30m,1 stop,€235,2023-12-14
"Aer Lingus, Binter Canarias",DUB,TFN,8h 10m,1 stop,€279,2023-12-14
"Aer Lingus, Binter Canarias",DUB,TFN,8h 45m,1 stop,€258,2023-12-14
