Airline,Source,Destination,Duration,Total stops,Price,Date
"Iberia, Aer Lingus",MAD,DUB,8h 00m,1 stop,€105,2023-12-17
Transavia France,MAD,DUB,5h 25m,1 stop,€149,2023-12-17
"Air Europa, Transavia",MAD,DUB,5h 55m,1 stop,€136,2023-12-17
Iberia,MAD,DUB,2h 40m,direct,€37,2023-12-18
Iberia Express,MAD,DUB,2h 40m,direct,€38,2023-12-18
Vueling,MAD,DUB,2h 40m,direct,€53,2023-12-18
Iberia,MAD,DUB,2h 40m,direct,€67,2023-12-18
Aer Lingus,MAD,DUB,2h 40m,direct,€70,2023-12-18
Aer Lingus,MAD,DUB,2h 45m,direct,€70,2023-12-18
British Airways,MAD,DUB,2h 40m,direct,€73,2023-12-18
Aer Lingus,MAD,DUB,2h 40m,direct,€75,2023-12-18
Iberia,MAD,DUB,2h 45m,direct,€102,2023-12-18
British Airways,MAD,DUB,2h 40m,direct,€103,2023-12-18
British Airways,MAD,DUB,2h 45m,direct,€140,2023-12-18
"Transavia France, Vueling",MAD,DUB,5h 20m,1 stop,€113,2023-12-18
"Iberia, Transavia France",MAD,DUB,5h 45m,1 stop,€111,2023-12-18
"Air Europa, Transavia France",MAD,DUB,5h 50m,1 stop,€110,2023-12-18
Air France,MAD,DUB,5h 25m,1 stop,€142,2023-12-18
Aer Lingus,MAD,DUB,2h 40m,direct,€67,2023-12-19
Iberia Express,MAD,DUB,2h 30m,direct,€37,2023-12-19
Iberia,MAD,DUB,2h 30m,direct,€37,2023-12-19
Vueling,MAD,DUB,2h 30m,direct,€53,2023-12-19
Aer Lingus,MAD,DUB,2h 40m,direct,€62,2023-12-19
Aer Lingus,MAD,DUB,2h 45m,direct,€62,2023-12-19
Iberia,MAD,DUB,2h 40m,direct,€67,2023-12-19
Iberia,MAD,DUB,2h 45m,direct,€67,2023-12-19
British Airways,MAD,DUB,2h 30m,direct,€73,2023-12-19
Aer Lingus,MAD,DUB,2h 30m,direct,€75,2023-12-19
