Airline,Source,Destination,Duration,Total stops,Price,Date,Date scraped
Iberia Express,DUB,MAD,2h 35m,direct,€242,11/12/2023,11/12/2023
Iberia,DUB,MAD,2h 35m,direct,€244,11/12/2023,11/12/2023
Vueling,DUB,MAD,2h 35m,direct,€244,11/12/2023,11/12/2023
Aer Lingus,DUB,MAD,2h 35m,direct,€277,11/12/2023,11/12/2023
TAP AIR PORTUGAL,DUB,MAD,8h 10m,1 stop,€307,11/12/2023,11/12/2023
KLM,DUB,MAD,5h 10m,1 stop,€683,11/12/2023,11/12/2023
"Vueling, Iberia",DUB,MAD,6h 15m,1 stop,€466,11/12/2023,11/12/2023
"Vueling, Air Europa",DUB,MAD,6h 10m,1 stop,€478,11/12/2023,11/12/2023
TAP AIR PORTUGAL,DUB,MAD,11h 10m,1 stop,€307,11/12/2023,11/12/2023
British Airways,DUB,MAD,5h 15m,1 stop,€783,11/12/2023,11/12/2023
British Airways,DUB,MAD,4h 40m,1 stop,€959,11/12/2023,11/12/2023
British Airways,DUB,MAD,5h 40m,1 stop,€816,11/12/2023,11/12/2023
British Airways,DUB,MAD,5h 40m,1 stop,€816,11/12/2023,11/12/2023
British Airways,DUB,MAD,7h 45m,1 stop,€658,11/12/2023,11/12/2023
Air France,DUB,MAD,5h 15m,1 stop,"€1,094",11/12/2023,11/12/2023
Iberia,DUB,MAD,2h 50m,direct,€92,12/12/2023,11/12/2023
Aer Lingus,DUB,MAD,2h 35m,direct,€201,12/12/2023,11/12/2023
Iberia Express,DUB,MAD,2h 35m,direct,€203,12/12/2023,11/12/2023
Iberia,DUB,MAD,2h 35m,direct,€208,12/12/2023,11/12/2023
Vueling,DUB,MAD,2h 35m,direct,€211,12/12/2023,11/12/2023
Vueling,DUB,MAD,6h 20m,1 stop,€98,12/12/2023,11/12/2023
Aer Lingus,DUB,MAD,2h 50m,direct,€243,12/12/2023,11/12/2023
"Vueling, Air Europa",DUB,MAD,6h 20m,1 stop,€164,12/12/2023,11/12/2023
"Aer Lingus, Iberia Express",DUB,MAD,6h 30m,1 stop,€183,12/12/2023,11/12/2023
