Airline,Source,Destination,Duration,Total stops,Price,Date,Date scraped
"Binter Canarias, Aer Lingus",TFN,DUB,6h 30m,1 stop,€207,11/12/2023,09/12/2023
Iberia,TFN,DUB,15h 20m,1 stop,€139,11/12/2023,09/12/2023
Iberia,TFN,DUB,14h 20m,1 stop,€146,11/12/2023,09/12/2023
"Binter Canarias, Aer Lingus",TFN,DUB,7h 30m,1 stop,€223,11/12/2023,09/12/2023
British Airways,TFN,DUB,14h 20m,1 stop,€149,11/12/2023,09/12/2023
British Airways,TFN,DUB,15h 20m,1 stop,€149,11/12/2023,09/12/2023
"Air Europa, Aer Lingus",TFN,DUB,12h 45m,1 stop,€196,11/12/2023,09/12/2023
"Air Europa, Aer Lingus",TFN,DUB,15h 00m,1 stop,€196,11/12/2023,09/12/2023
Iberia,TFN,DUB,17h 35m,1 stop,€209,11/12/2023,09/12/2023
Multiple Airlines,TFN,DUB,10h 35m,2 stops,€370,11/12/2023,09/12/2023
Iberia,TFN,DUB,18h 35m,1 stop,€216,11/12/2023,09/12/2023
Multiple Airlines,TFN,DUB,11h 50m,3 stops,€310,11/12/2023,09/12/2023
Multiple Airlines,TFN,DUB,12h 25m,3 stops,€304,11/12/2023,09/12/2023
"Iberia, Iberia Express",TFN,DUB,15h 20m,1 stop,€244,11/12/2023,09/12/2023
"Binter Canarias, Vueling",TFN,DUB,16h 00m,2 stops,€248,11/12/2023,09/12/2023
"Binter Canarias, Aer Lingus",TFN,DUB,6h 00m,1 stop,€186,12/12/2023,09/12/2023
"Air Europa, Aer Lingus",TFN,DUB,12h 45m,1 stop,€184,12/12/2023,09/12/2023
"Binter Canarias, Aer Lingus",TFN,DUB,6h 30m,1 stop,€186,12/12/2023,09/12/2023
"Binter Canarias, Aer Lingus",TFN,DUB,7h 00m,1 stop,€186,12/12/2023,09/12/2023
"Binter Canarias, Aer Lingus",TFN,DUB,7h 30m,1 stop,€195,12/12/2023,09/12/2023
"Binter Canarias, Aer Lingus",TFN,DUB,8h 00m,1 stop,€186,12/12/2023,09/12/2023
"Binter Canarias, Aer Lingus",TFN,DUB,7h 10m,1 stop,€237,12/12/2023,09/12/2023
"Binter Canarias, Aer Lingus",TFN,DUB,8h 30m,1 stop,€186,12/12/2023,09/12/2023
"Binter Canarias, Aer Lingus",TFN,DUB,9h 00m,1 stop,€186,12/12/2023,09/12/2023
"Binter Canarias, Aer Lingus",TFN,DUB,9h 30m,1 stop,€186,12/12/2023,09/12/2023
"Canaryfly, Aer Lingus",TFN,DUB,8h 30m,1 stop,€221,12/12/2023,09/12/2023
"Air Europa, Aer Lingus",TFN,DUB,8h 30m,1 stop,€272,12/12/2023,09/12/2023
Vueling,TFN,DUB,13h 00m,1 stop,€188,12/12/2023,09/12/2023
"Binter Canarias, Aer Lingus",TFN,DUB,9h 40m,1 stop,€274,12/12/2023,09/12/2023
"Binter Canarias, Aer Lingus",TFN,DUB,11h 30m,1 stop,€251,12/12/2023,09/12/2023
Vueling,TFN,DUB,13h 25m,1 stop,€101,13/12/2023,09/12/2023
Iberia,TFN,DUB,7h 00m,1 stop,€337,13/12/2023,09/12/2023
Iberia,TFN,DUB,14h 20m,1 stop,€171,13/12/2023,09/12/2023
Vueling,TFN,DUB,7h 00m,1 stop,€663,13/12/2023,09/12/2023
"Vueling, Aer Lingus",TFN,DUB,11h 05m,1 stop,€194,13/12/2023,09/12/2023
Iberia,TFN,DUB,11h 20m,1 stop,€271,13/12/2023,09/12/2023
Iberia,TFN,DUB,17h 05m,1 stop,€171,13/12/2023,09/12/2023
"Vueling, Aer Lingus",TFN,DUB,17h 20m,1 stop,€158,13/12/2023,09/12/2023
"Vueling, Transavia France",TFN,DUB,12h 10m,2 stops,€211,13/12/2023,09/12/2023
Iberia,TFN,DUB,13h 25m,1 stop,€345,13/12/2023,09/12/2023
"Vueling, TAP AIR PORTUGAL",TFN,DUB,16h 15m,2 stops,€197,13/12/2023,09/12/2023
"Vueling, Aer Lingus",TFN,DUB,13h 05m,2 stops,€272,13/12/2023,09/12/2023
"Vueling, Aer Lingus",TFN,DUB,13h 05m,2 stops,€272,13/12/2023,09/12/2023
"Vueling, Aer Lingus",TFN,DUB,13h 45m,2 stops,€254,13/12/2023,09/12/2023
"Vueling, Aer Lingus",TFN,DUB,13h 45m,2 stops,€254,13/12/2023,09/12/2023
Iberia,TFN,DUB,7h 00m,1 stop,€164,14/12/2023,09/12/2023
"Air Europa, Aer Lingus",TFN,DUB,13h 20m,1 stop,€131,14/12/2023,09/12/2023
"Binter Canarias, Aer Lingus",TFN,DUB,7h 05m,1 stop,€155,14/12/2023,09/12/2023
