Airline,Source,Destination,Duration,Total stops,Price,Date,Date scraped
Vueling,DUB,IBZ,22h 50m,1 stop,€92,11/12/2023,07/12/2023
"Transavia France, Vueling",DUB,IBZ,17h 10m,1 stop,€103,11/12/2023,07/12/2023
Multiple Airlines,DUB,IBZ,7h 35m,2 stops,€233,11/12/2023,07/12/2023
"Aer Lingus, Vueling",DUB,IBZ,6h 40m,1 stop,€340,11/12/2023,07/12/2023
Iberia,DUB,IBZ,12h 30m,1 stop,€282,11/12/2023,07/12/2023
"Aer Lingus, Vueling",DUB,IBZ,18h 55m,1 stop,€169,11/12/2023,07/12/2023
British Airways,DUB,IBZ,12h 30m,1 stop,€327,11/12/2023,07/12/2023
"Transavia France, Vueling",DUB,IBZ,17h 00m,2 stops,€161,11/12/2023,07/12/2023
"Aer Lingus, Vueling",DUB,IBZ,9h 20m,1 stop,€360,11/12/2023,07/12/2023
"British Airways, Iberia",DUB,IBZ,14h 55m,1 stop,€308,11/12/2023,07/12/2023
"Aer Lingus, British Airways",DUB,IBZ,14h 55m,1 stop,€262,11/12/2023,07/12/2023
"Transavia France, Vueling",DUB,IBZ,18h 00m,2 stops,€161,11/12/2023,07/12/2023
Iberia,DUB,IBZ,16h 45m,1 stop,€289,11/12/2023,07/12/2023
"Transavia France, Vueling",DUB,IBZ,13h 25m,2 stops,€221,11/12/2023,07/12/2023
"British Airways, Iberia",DUB,IBZ,18h 00m,1 stop,€294,11/12/2023,07/12/2023
Vueling,DUB,IBZ,7h 15m,1 stop,€112,12/12/2023,07/12/2023
Vueling,DUB,IBZ,18h 40m,1 stop,€95,12/12/2023,07/12/2023
"Aer Lingus, Vueling",DUB,IBZ,5h 40m,1 stop,€147,12/12/2023,07/12/2023
"Aer Lingus, Vueling",DUB,IBZ,6h 40m,1 stop,€147,12/12/2023,07/12/2023
"Aer Lingus, Air Europa",DUB,IBZ,5h 45m,1 stop,€255,12/12/2023,07/12/2023
Iberia,DUB,IBZ,5h 00m,1 stop,€390,12/12/2023,07/12/2023
Vueling,DUB,IBZ,5h 00m,1 stop,€399,12/12/2023,07/12/2023
British Airways,DUB,IBZ,4h 40m,1 stop,€430,12/12/2023,07/12/2023
"Aer Lingus, Vueling",DUB,IBZ,9h 10m,1 stop,€167,12/12/2023,07/12/2023
Iberia Express,DUB,IBZ,5h 00m,1 stop,€384,12/12/2023,07/12/2023
British Airways,DUB,IBZ,5h 00m,1 stop,€487,12/12/2023,07/12/2023
