Airline,Source,Destination,Duration,Total stops,Price,Date,Date scraped
British Airways,MAD,DUB,5h 50m,1 stop,€178,14/12/2023,11/12/2023
KLM,MAD,DUB,6h 10m,1 stop,€173,14/12/2023,11/12/2023
British Airways,MAD,DUB,6h 05m,1 stop,€178,14/12/2023,11/12/2023
"Iberia, British Airways",MAD,DUB,5h 50m,1 stop,€187,14/12/2023,Date scraped
Aer Lingus,MAD,DUB,2h 40m,direct,€75,15/12/2023,11/12/2023
Iberia,MAD,DUB,2h 40m,direct,€42,15/12/2023,11/12/2023
Iberia Express,MAD,DUB,2h 40m,direct,€43,15/12/2023,11/12/2023
Vueling,MAD,DUB,2h 40m,direct,€53,15/12/2023,11/12/2023
Aer Lingus,MAD,DUB,2h 40m,direct,€75,15/12/2023,11/12/2023
British Airways,MAD,DUB,2h 40m,direct,€78,15/12/2023,11/12/2023
Aer Lingus,MAD,DUB,2h 40m,direct,€81,15/12/2023,11/12/2023
Iberia,MAD,DUB,2h 40m,direct,€101,15/12/2023,11/12/2023
Aer Lingus,MAD,DUB,2h 45m,direct,€139,15/12/2023,11/12/2023
British Airways,MAD,DUB,2h 40m,direct,€140,15/12/2023,11/12/2023
Iberia,MAD,DUB,2h 45m,direct,€183,15/12/2023,11/12/2023
British Airways,MAD,DUB,2h 45m,direct,€225,15/12/2023,11/12/2023
Vueling,MAD,DUB,6h 15m,1 stop,€86,15/12/2023,11/12/2023
"Iberia, Vueling",MAD,DUB,9h 00m,1 stop,€83,15/12/2023,11/12/2023
Air France,MAD,DUB,5h 25m,1 stop,€141,15/12/2023,11/12/2023
"Iberia, Vueling",MAD,DUB,8h 00m,1 stop,€97,15/12/2023,11/12/2023
