Airline,Source,Destination,Duration,Total stops,Price,Date,Date scraped
"Aer Lingus, Binter Canarias",DUB,TFN,7h 00m,1 stop,€186,11/12/2023,07/12/2023
Multiple Airlines,DUB,TFN,19h 45m,2 stops,€176,11/12/2023,07/12/2023
"Aer Lingus, Binter Canarias",DUB,TFN,8h 00m,1 stop,€186,11/12/2023,07/12/2023
Multiple Airlines,DUB,TFN,9h 50m,2 stops,€201,11/12/2023,07/12/2023
Multiple Airlines,DUB,TFN,12h 50m,2 stops,€206,11/12/2023,07/12/2023
"Aer Lingus, Binter Canarias",DUB,TFN,18h 00m,1 stop,€186,11/12/2023,07/12/2023
Multiple Airlines,DUB,TFN,18h 00m,2 stops,€198,11/12/2023,07/12/2023
Multiple Airlines,DUB,TFN,12h 30m,2 stops,€252,11/12/2023,07/12/2023
Multiple Airlines,DUB,TFN,14h 50m,2 stops,€226,11/12/2023,07/12/2023
Multiple Airlines,DUB,TFN,13h 50m,2 stops,€252,11/12/2023,07/12/2023
Multiple Airlines,DUB,TFN,16h 15m,2 stops,€236,11/12/2023,07/12/2023
Multiple Airlines,DUB,TFN,16h 45m,2 stops,€199,11/12/2023,07/12/2023
Multiple Airlines,DUB,TFN,17h 45m,2 stops,€208,11/12/2023,07/12/2023
Multiple Airlines,DUB,TFN,18h 05m,2 stops,€205,11/12/2023,07/12/2023
Multiple Airlines,DUB,TFN,19h 50m,2 stops,€190,11/12/2023,07/12/2023
"Aer Lingus, Binter Canarias",DUB,TFN,7h 00m,1 stop,€155,12/12/2023,07/12/2023
"Aer Lingus, Binter Canarias",DUB,TFN,8h 00m,1 stop,€155,12/12/2023,07/12/2023
"Aer Lingus, Binter Canarias",DUB,TFN,7h 15m,1 stop,€194,12/12/2023,07/12/2023
"Aer Lingus, Binter Canarias",DUB,TFN,9h 00m,1 stop,€155,12/12/2023,07/12/2023
Iberia,DUB,TFN,9h 15m,1 stop,€230,12/12/2023,07/12/2023
"Aer Lingus, Binter Canarias",DUB,TFN,6h 10m,1 stop,€345,12/12/2023,07/12/2023
"Aer Lingus, Vueling",DUB,TFN,7h 20m,1 stop,€263,12/12/2023,07/12/2023
"Aer Lingus, Binter Canarias",DUB,TFN,8h 15m,2 stops,€177,12/12/2023,07/12/2023
"Aer Lingus, Binter Canarias",DUB,TFN,8h 40m,1 stop,€322,12/12/2023,07/12/2023
"Aer Lingus, Vueling",DUB,TFN,12h 05m,1 stop,€188,12/12/2023,07/12/2023
"Aer Lingus, Binter Canarias",DUB,TFN,10h 00m,1 stop,€322,12/12/2023,07/12/2023
"Aer Lingus, Air Europa",DUB,TFN,9h 30m,1 stop,€345,12/12/2023,07/12/2023
Vueling,DUB,TFN,11h 10m,1 stop,€422,12/12/2023,07/12/2023
"Aer Lingus, Binter Canarias",DUB,TFN,17h 15m,2 stops,€195,12/12/2023,07/12/2023
"Aer Lingus, Binter Canarias",DUB,TFN,17h 15m,2 stops,€196,12/12/2023,07/12/2023
Vueling,DUB,TFN,9h 35m,1 stop,€148,13/12/2023,07/12/2023
"Aer Lingus, Binter Canarias",DUB,TFN,8h 40m,1 stop,€242,13/12/2023,07/12/2023
"Aer Lingus, Iberia",DUB,TFN,9h 25m,2 stops,€177,13/12/2023,07/12/2023
"Aer Lingus, Binter Canarias",DUB,TFN,10h 00m,1 stop,€242,13/12/2023,07/12/2023
Iberia,DUB,TFN,14h 20m,1 stop,€196,13/12/2023,07/12/2023
British Airways,DUB,TFN,14h 20m,1 stop,€206,13/12/2023,07/12/2023
Multiple Airlines,DUB,TFN,10h 50m,2 stops,€181,13/12/2023,07/12/2023
"Aer Lingus, Vueling",DUB,TFN,12h 05m,1 stop,€204,13/12/2023,07/12/2023
"Iberia Express, Air Europa",DUB,TFN,13h 50m,1 stop,€194,13/12/2023,07/12/2023
Iberia Express,DUB,TFN,14h 20m,1 stop,€193,13/12/2023,07/12/2023
Multiple Airlines,DUB,TFN,11h 05m,2 stops,€194,13/12/2023,07/12/2023
"Vueling, Binter Canarias",DUB,TFN,12h 45m,2 stops,€211,13/12/2023,07/12/2023
"Vueling, Air Europa",DUB,TFN,11h 10m,2 stops,€231,13/12/2023,07/12/2023
"KLM, Iberia",DUB,TFN,10h 45m,2 stops,€260,13/12/2023,07/12/2023
Iberia,DUB,TFN,15h 35m,1 stop,€196,13/12/2023,07/12/2023
Vueling,DUB,TFN,9h 10m,1 stop,€102,14/12/2023,07/12/2023
"Aer Lingus, Binter Canarias",DUB,TFN,6h 30m,1 stop,€206,14/12/2023,07/12/2023
"Aer Lingus, Binter Canarias",DUB,TFN,7h 30m,1 stop,€185,14/12/2023,07/12/2023
"Aer Lingus, Vueling",DUB,TFN,7h 20m,1 stop,€188,14/12/2023,07/12/2023
"Aer Lingus, Binter Canarias",DUB,TFN,8h 45m,1 stop,€198,14/12/2023,07/12/2023
"Aer Lingus, Vueling",DUB,TFN,12h 05m,1 stop,€155,14/12/2023,07/12/2023
Iberia,DUB,TFN,10h 10m,1 stop,€228,14/12/2023,07/12/2023
"Aer Lingus, Binter Canarias",DUB,TFN,8h 10m,1 stop,€269,14/12/2023,07/12/2023
Iberia,DUB,TFN,9h 15m,1 stop,€288,14/12/2023,07/12/2023
British Airways,DUB,TFN,10h 10m,1 stop,€248,14/12/2023,07/12/2023
Multiple Airlines,DUB,TFN,9h 20m,2 stops,€202,14/12/2023,07/12/2023
Iberia,DUB,TFN,9h 10m,1 stop,€358,14/12/2023,07/12/2023
"Aer Lingus, Binter Canarias",DUB,TFN,9h 30m,1 stop,€269,14/12/2023,07/12/2023
Multiple Airlines,DUB,TFN,9h 50m,2 stops,€202,14/12/2023,07/12/2023
Iberia,DUB,TFN,13h 50m,1 stop,€238,14/12/2023,07/12/2023
"Aer Lingus, Binter Canarias",DUB,TFN,8h 40m,1 stop,€236,15/12/2023,07/12/2023
Iberia,DUB,TFN,14h 25m,1 stop,€196,15/12/2023,07/12/2023
"Aer Lingus, Binter Canarias",DUB,TFN,9h 45m,1 stop,€236,15/12/2023,07/12/2023
"Aer Lingus, Binter Canarias",DUB,TFN,10h 00m,1 stop,€236,15/12/2023,07/12/2023
Iberia,DUB,TFN,15h 40m,1 stop,€246,15/12/2023,07/12/2023
"Aer Lingus, Air Europa",DUB,TFN,13h 55m,1 stop,€284,15/12/2023,07/12/2023
Iberia,DUB,TFN,9h 15m,1 stop,€640,15/12/2023,07/12/2023
"Aer Lingus, Air Europa",DUB,TFN,10h 25m,2 stops,€412,15/12/2023,07/12/2023
"Aer Lingus, Vueling",DUB,TFN,11h 50m,1 stop,€422,15/12/2023,07/12/2023
"Aer Lingus, Vueling",DUB,TFN,12h 25m,1 stop,€409,15/12/2023,07/12/2023
British Airways,DUB,TFN,11h 45m,2 stops,€558,15/12/2023,07/12/2023
"Aer Lingus, Vueling",DUB,TFN,16h 55m,1 stop,€199,15/12/2023,07/12/2023
Iberia,DUB,TFN,12h 00m,1 stop,€640,15/12/2023,07/12/2023
Iberia,DUB,TFN,19h 20m,1 stop,€211,15/12/2023,07/12/2023
Iberia,DUB,TFN,17h 10m,1 stop,€365,15/12/2023,07/12/2023
