Airline,Source,Destination,Duration,Total stops,Price,Date,Date scraped
Vueling,TFN,DUB,13h 25m,1 stop,€119,13/12/2023,13/12/2023
Iberia,TFN,DUB,14h 20m,1 stop,€175,13/12/2023,13/12/2023
Iberia,TFN,DUB,7h 00m,1 stop,"€1,023",13/12/2023,13/12/2023
"Binter Canarias, Aer Lingus",TFN,DUB,8h 20m,1 stop,€374,13/12/2023,13/12/2023
Iberia,TFN,DUB,13h 25m,1 stop,€370,13/12/2023,13/12/2023
"Iberia, Iberia Express",TFN,DUB,14h 20m,1 stop,€321,13/12/2023,13/12/2023
"Binter Canarias, Vueling",TFN,DUB,15h 55m,2 stops,€236,13/12/2023,13/12/2023
"Binter Canarias, Vueling",TFN,DUB,15h 25m,2 stops,€245,13/12/2023,13/12/2023
"Binter Canarias, Vueling",TFN,DUB,16h 25m,2 stops,€237,13/12/2023,13/12/2023
"Binter Canarias, Vueling",TFN,DUB,16h 55m,2 stops,€245,13/12/2023,13/12/2023
Multiple Airlines,TFN,DUB,15h 40m,2 stops,€331,13/12/2023,13/12/2023
"Binter Canarias, British Airways",TFN,DUB,15h 50m,2 stops,€370,13/12/2023,13/12/2023
"Binter Canarias, British Airways",TFN,DUB,16h 40m,2 stops,€351,13/12/2023,13/12/2023
"Binter Canarias, British Airways",TFN,DUB,16h 50m,2 stops,€361,13/12/2023,13/12/2023
Multiple Airlines,TFN,DUB,15h 25m,3 stops,€645,13/12/2023,13/12/2023
Iberia,TFN,DUB,7h 00m,1 stop,€158,14/12/2023,13/12/2023
"Binter Canarias, Aer Lingus",TFN,DUB,6h 35m,1 stop,€163,14/12/2023,13/12/2023
"Binter Canarias, Aer Lingus",TFN,DUB,6h 05m,1 stop,€188,14/12/2023,13/12/2023
"Binter Canarias, Aer Lingus",TFN,DUB,7h 05m,1 stop,€172,14/12/2023,13/12/2023
Iberia,TFN,DUB,8h 15m,1 stop,€158,14/12/2023,13/12/2023
"Binter Canarias, Aer Lingus",TFN,DUB,7h 35m,1 stop,€163,14/12/2023,13/12/2023
"Binter Canarias, Aer Lingus",TFN,DUB,8h 35m,1 stop,€163,14/12/2023,13/12/2023
"Binter Canarias, Aer Lingus",TFN,DUB,8h 05m,1 stop,€188,14/12/2023,13/12/2023
"Iberia, Iberia Express",TFN,DUB,7h 00m,1 stop,€305,14/12/2023,13/12/2023
"Binter Canarias, Aer Lingus",TFN,DUB,9h 35m,1 stop,€163,14/12/2023,13/12/2023
"Binter Canarias, Aer Lingus",TFN,DUB,9h 05m,1 stop,€188,14/12/2023,13/12/2023
Iberia,TFN,DUB,7h 05m,1 stop,€539,14/12/2023,13/12/2023
"Air Europa, Aer Lingus",TFN,DUB,13h 20m,1 stop,€160,14/12/2023,13/12/2023
"Binter Canarias, Aer Lingus",TFN,DUB,10h 05m,1 stop,€188,14/12/2023,13/12/2023
"Binter Canarias, Aer Lingus",TFN,DUB,13h 05m,1 stop,€163,14/12/2023,13/12/2023
British Airways,TFN,DUB,7h 00m,1 stop,€281,15/12/2023,13/12/2023
Vueling,TFN,DUB,18h 15m,2 stops,€91,15/12/2023,13/12/2023
Iberia,TFN,DUB,7h 00m,1 stop,€261,15/12/2023,13/12/2023
British Airways,TFN,DUB,13h 45m,1 stop,€149,15/12/2023,13/12/2023
Iberia,TFN,DUB,14h 40m,1 stop,€164,15/12/2023,13/12/2023
Iberia,TFN,DUB,13h 45m,1 stop,€139,15/12/2023,13/12/2023
British Airways,TFN,DUB,8h 40m,1 stop,€281,15/12/2023,13/12/2023
Iberia,TFN,DUB,8h 40m,1 stop,€261,15/12/2023,13/12/2023
Vueling,TFN,DUB,17h 40m,1 stop,€129,15/12/2023,13/12/2023
Iberia,TFN,DUB,10h 30m,1 stop,€261,15/12/2023,13/12/2023
Vueling,TFN,DUB,7h 45m,1 stop,€334,15/12/2023,13/12/2023
"Iberia, Iberia Express",TFN,DUB,7h 00m,1 stop,€316,15/12/2023,13/12/2023
Iberia,TFN,DUB,17h 25m,1 stop,€178,15/12/2023,13/12/2023
"Binter Canarias, Vueling",TFN,DUB,16h 00m,2 stops,€216,15/12/2023,13/12/2023
"Canaryfly, Vueling",TFN,DUB,19h 00m,3 stops,€212,15/12/2023,13/12/2023
