Airline,Source,Destination,Duration,Total stops,Price,Date,Date scraped
Vueling,DUB,IBZ,6h 35m,1 stop,€101,13/12/2023,13/12/2023
Vueling,DUB,IBZ,9h 00m,1 stop,€155,13/12/2023,13/12/2023
Vueling,DUB,IBZ,12h 10m,1 stop,€108,13/12/2023,13/12/2023
Iberia,DUB,IBZ,6h 35m,1 stop,€346,13/12/2023,13/12/2023
"Aer Lingus, Vueling",DUB,IBZ,5h 55m,1 stop,€543,13/12/2023,13/12/2023
Iberia,DUB,IBZ,9h 00m,1 stop,€368,13/12/2023,13/12/2023
"Aer Lingus, Vueling",DUB,IBZ,9h 35m,2 stops,€207,13/12/2023,13/12/2023
"Vueling, Iberia",DUB,IBZ,6h 45m,2 stops,€295,13/12/2023,13/12/2023
Iberia Express,DUB,IBZ,12h 25m,1 stop,€223,13/12/2023,13/12/2023
Iberia,DUB,IBZ,12h 25m,1 stop,€245,13/12/2023,13/12/2023
Multiple Airlines,DUB,IBZ,15h 55m,2 stops,€165,13/12/2023,13/12/2023
Vueling,DUB,IBZ,16h 40m,1 stop,€275,13/12/2023,13/12/2023
Multiple Airlines,DUB,IBZ,15h 55m,2 stops,€172,13/12/2023,13/12/2023
Iberia,DUB,IBZ,12h 10m,1 stop,€368,13/12/2023,13/12/2023
Iberia,DUB,IBZ,16h 40m,1 stop,€301,13/12/2023,13/12/2023
Vueling,DUB,IBZ,6h 10m,1 stop,€99,14/12/2023,13/12/2023
Vueling,DUB,IBZ,23h 10m,1 stop,€74,14/12/2023,13/12/2023
Vueling,DUB,IBZ,8h 35m,1 stop,€119,14/12/2023,13/12/2023
"Aer Lingus, Vueling",DUB,IBZ,5h 05m,1 stop,€221,14/12/2023,13/12/2023
"Aer Lingus, Vueling",DUB,IBZ,5h 40m,1 stop,€199,14/12/2023,13/12/2023
Vueling,DUB,IBZ,11h 45m,1 stop,€111,14/12/2023,13/12/2023
Iberia,DUB,IBZ,6h 10m,1 stop,€309,14/12/2023,13/12/2023
"Aer Lingus, Vueling",DUB,IBZ,6h 40m,1 stop,€199,14/12/2023,13/12/2023
"Aer Lingus, Air Europa",DUB,IBZ,5h 45m,1 stop,€300,14/12/2023,13/12/2023
Iberia,DUB,IBZ,5h 00m,1 stop,€394,14/12/2023,13/12/2023
"Transavia France, Vueling",DUB,IBZ,17h 05m,1 stop,€141,14/12/2023,13/12/2023
"Vueling, Air Europa",DUB,IBZ,7h 50m,2 stops,€144,14/12/2023,13/12/2023
"Aer Lingus, Vueling",DUB,IBZ,9h 05m,1 stop,€206,14/12/2023,13/12/2023
Iberia,DUB,IBZ,8h 35m,1 stop,€363,14/12/2023,13/12/2023
"Vueling, Air Europa",DUB,IBZ,10h 20m,2 stops,€150,14/12/2023,13/12/2023
Vueling,DUB,IBZ,6h 20m,1 stop,€132,15/12/2023,13/12/2023
Iberia,DUB,IBZ,12h 30m,1 stop,€113,15/12/2023,13/12/2023
"Aer Lingus, Vueling",DUB,IBZ,6h 30m,1 stop,€217,15/12/2023,13/12/2023
Iberia,DUB,IBZ,6h 20m,1 stop,€343,15/12/2023,13/12/2023
"Aer Lingus, Vueling",DUB,IBZ,8h 40m,1 stop,€229,15/12/2023,13/12/2023
Iberia,DUB,IBZ,16h 45m,1 stop,€176,15/12/2023,13/12/2023
Iberia,DUB,IBZ,25h 05m,1 stop,€146,15/12/2023,13/12/2023
Iberia,DUB,IBZ,8h 35m,1 stop,€537,15/12/2023,13/12/2023
British Airways,DUB,IBZ,12h 20m,1 stop,€288,15/12/2023,13/12/2023
British Airways,DUB,IBZ,12h 15m,1 stop,€291,15/12/2023,13/12/2023
"Aer Lingus, Vueling",DUB,IBZ,11h 30m,1 stop,€249,15/12/2023,13/12/2023
British Airways,DUB,IBZ,12h 35m,1 stop,€297,15/12/2023,13/12/2023
British Airways,DUB,IBZ,13h 15m,1 stop,€306,15/12/2023,13/12/2023
British Airways,DUB,IBZ,12h 55m,1 stop,€334,15/12/2023,13/12/2023
British Airways,DUB,IBZ,13h 45m,1 stop,€334,15/12/2023,13/12/2023
