Airline,Source,Destination,Duration,Total stops,Price,Date
"Transavia, Vueling",DUB,IBZ,17h 10m,1 stop,€91,2023-12-11
"Aer Lingus, Vueling",DUB,IBZ,6h 40m,1 stop,€304,2023-12-11
"Aer Lingus, Vueling",DUB,IBZ,5h 40m,1 stop,€347,2023-12-11
Multiple Airlines,DUB,IBZ,7h 35m,2 stops,€236,2023-12-11
"Transavia France, Vueling",DUB,IBZ,17h 10m,1 stop,€103,2023-12-11
Vueling,DUB,IBZ,22h 50m,1 stop,€92,2023-12-11
"Aer Lingus, Vueling",DUB,IBZ,7h 25m,2 stops,€274,2023-12-11
Iberia,DUB,IBZ,12h 30m,1 stop,€282,2023-12-11
"Aer Lingus, Vueling",DUB,IBZ,18h 55m,1 stop,€140,2023-12-11
"Aer Lingus, Vueling",DUB,IBZ,9h 20m,1 stop,€295,2023-12-11
"Vueling, Iberia",DUB,IBZ,6h 35m,2 stops,€349,2023-12-11
"British Airways, Iberia",DUB,IBZ,14h 55m,1 stop,€269,2023-12-11
"Aer Lingus, British Airways",DUB,IBZ,14h 55m,1 stop,€232,2023-12-11
"Aer Lingus, Vueling",DUB,IBZ,10h 05m,2 stops,€248,2023-12-11
"Transavia France, Vueling",DUB,IBZ,17h 00m,2 stops,€156,2023-12-11
KLM,DUB,IBZ,5h 40m,1 stop,€322,2023-12-12
"Aer Lingus, Vueling",DUB,IBZ,5h 40m,1 stop,€112,2023-12-12
Vueling,DUB,IBZ,18h 40m,1 stop,€74,2023-12-12
Vueling,DUB,IBZ,7h 15m,1 stop,€109,2023-12-12
"Aer Lingus, Vueling",DUB,IBZ,6h 40m,1 stop,€112,2023-12-12
Iberia,DUB,IBZ,5h 00m,1 stop,€257,2023-12-12
Vueling,DUB,IBZ,5h 00m,1 stop,€314,2023-12-12
"Aer Lingus, Vueling",DUB,IBZ,9h 10m,1 stop,€132,2023-12-12
KLM,DUB,IBZ,5h 40m,1 stop,€311,2023-12-12
"Aer Lingus, Air Europa",DUB,IBZ,5h 45m,1 stop,€255,2023-12-12
British Airways,DUB,IBZ,5h 00m,1 stop,€327,2023-12-12
Iberia Express,DUB,IBZ,5h 00m,1 stop,€291,2023-12-12
"Vueling, Iberia Express",DUB,IBZ,5h 00m,1 stop,€294,2023-12-12
"Vueling, Iberia",DUB,IBZ,6h 35m,2 stops,€177,2023-12-12
"Aer Lingus, Vueling",DUB,IBZ,14h 40m,1 stop,€125,2023-12-12
British Airways,DUB,IBZ,4h 40m,1 stop,€410,2023-12-12
Vueling,DUB,IBZ,6h 35m,1 stop,€46,2023-12-13
Vueling,DUB,IBZ,23h 35m,1 stop,€42,2023-12-13
"Aer Lingus, Vueling",DUB,IBZ,5h 40m,1 stop,€89,2023-12-13
"Aer Lingus, Vueling",DUB,IBZ,6h 40m,1 stop,€81,2023-12-13
Vueling,DUB,IBZ,9h 00m,1 stop,€70,2023-12-13
"Aer Lingus, Vueling",DUB,IBZ,9h 05m,1 stop,€81,2023-12-13
Vueling,DUB,IBZ,12h 10m,1 stop,€60,2023-12-13
"Vueling, Swiftair",DUB,IBZ,8h 15m,2 stops,€120,2023-12-13
"Vueling, Air Europa",DUB,IBZ,8h 15m,2 stops,€123,2023-12-13
Multiple Airlines,DUB,IBZ,8h 15m,2 stops,€126,2023-12-13
Iberia,DUB,IBZ,12h 25m,1 stop,€107,2023-12-13
"Vueling, Air Europa",DUB,IBZ,8h 15m,2 stops,€130,2023-12-13
"Vueling, Swiftair",DUB,IBZ,10h 45m,2 stops,€113,2023-12-13
"Aer Lingus, Vueling",DUB,IBZ,7h 00m,2 stops,€163,2023-12-13
"Vueling, Air Europa",DUB,IBZ,10h 45m,2 stops,€116,2023-12-13
"Aer Lingus, Vueling",DUB,IBZ,11h 30m,1 stop,€110,2023-12-13
Vueling,DUB,IBZ,6h 10m,1 stop,€72,2023-12-14
Vueling,DUB,IBZ,23h 10m,1 stop,€51,2023-12-14
"Aer Lingus, Vueling",DUB,IBZ,5h 05m,1 stop,€99,2023-12-14
"Aer Lingus, Vueling",DUB,IBZ,5h 40m,1 stop,€93,2023-12-14
"Aer Lingus, Vueling",DUB,IBZ,6h 40m,1 stop,€93,2023-12-14
Vueling,DUB,IBZ,8h 35m,1 stop,€105,2023-12-14
Vueling,DUB,IBZ,11h 45m,1 stop,€68,2023-12-14
Iberia,DUB,IBZ,6h 10m,1 stop,€299,2023-12-14
Iberia,DUB,IBZ,5h 00m,1 stop,€357,2023-12-14
"Aer Lingus, Vueling",DUB,IBZ,9h 05m,1 stop,€93,2023-12-14
"Iberia, Iberia Express",DUB,IBZ,5h 00m,1 stop,€318,2023-12-14
British Airways,DUB,IBZ,6h 10m,1 stop,€354,2023-12-14
"Aer Lingus, Vueling",DUB,IBZ,16h 30m,1 stop,€82,2023-12-14
"Aer Lingus, Vueling",DUB,IBZ,14h 40m,1 stop,€89,2023-12-14
Multiple Airlines,DUB,IBZ,7h 50m,2 stops,€140,2023-12-14
Vueling,DUB,IBZ,6h 20m,1 stop,€98,2023-12-15
"Aer Lingus, Vueling",DUB,IBZ,5h 05m,1 stop,€160,2023-12-15
"Aer Lingus, Vueling",DUB,IBZ,5h 15m,1 stop,€167,2023-12-15
"Aer Lingus, Vueling",DUB,IBZ,6h 30m,1 stop,€156,2023-12-15
Iberia,DUB,IBZ,12h 30m,1 stop,€107,2023-12-15
Iberia,DUB,IBZ,16h 45m,1 stop,€114,2023-12-15
Iberia,DUB,IBZ,6h 20m,1 stop,€339,2023-12-15
"Aer Lingus, Vueling",DUB,IBZ,8h 40m,1 stop,€156,2023-12-15
British Airways,DUB,IBZ,12h 30m,1 stop,€148,2023-12-15
"Aer Lingus, Vueling",DUB,IBZ,14h 40m,1 stop,€150,2023-12-15
"Aer Lingus, Vueling",DUB,IBZ,11h 30m,1 stop,€167,2023-12-15
Multiple Airlines,DUB,IBZ,7h 45m,2 stops,€199,2023-12-15
"Aer Lingus, Vueling",DUB,IBZ,10h 55m,2 stops,€151,2023-12-15
"Iberia, Iberia Express",DUB,IBZ,12h 30m,1 stop,€181,2023-12-15
British Airways,DUB,IBZ,12h 20m,1 stop,€263,2023-12-15
Vueling,DUB,IBZ,7h 15m,1 stop,€117,2023-12-16
"Aer Lingus, Vueling",DUB,IBZ,5h 05m,1 stop,€207,2023-12-16
"Aer Lingus, Vueling",DUB,IBZ,6h 05m,1 stop,€194,2023-12-16
"Aer Lingus, Vueling",DUB,IBZ,7h 50m,1 stop,€194,2023-12-16
"Aer Lingus, Transavia",DUB,IBZ,14h 35m,1 stop,€133,2023-12-16
Iberia,DUB,IBZ,7h 15m,1 stop,€379,2023-12-16
Iberia Express,DUB,IBZ,8h 40m,1 stop,€282,2023-12-16
"Aer Lingus, Vueling",DUB,IBZ,11h 30m,1 stop,€201,2023-12-16
KLM,DUB,IBZ,14h 10m,1 stop,€219,2023-12-16
"Vueling, Iberia",DUB,IBZ,6h 50m,2 stops,€269,2023-12-16
Iberia,DUB,IBZ,8h 40m,1 stop,€316,2023-12-16
"Transavia France, Vueling",DUB,IBZ,10h 10m,2 stops,€189,2023-12-16
British Airways,DUB,IBZ,8h 40m,1 stop,€545,2023-12-16
"Aer Lingus, Vueling",DUB,IBZ,14h 40m,1 stop,€194,2023-12-16
"Aer Lingus, Vueling",DUB,IBZ,7h 50m,2 stops,€260,2023-12-16
"Aer Lingus, Vueling",DUB,IBZ,4h 55m,1 stop,€195,2023-12-17
Vueling,DUB,IBZ,17h 10m,1 stop,€93,2023-12-17
Vueling,DUB,IBZ,13h 35m,1 stop,€99,2023-12-17
"Aer Lingus, Vueling",DUB,IBZ,6h 35m,1 stop,€184,2023-12-17
"Aer Lingus, Vueling",DUB,IBZ,5h 25m,1 stop,€371,2023-12-17
