Airline,Source,Destination,Duration,Total stops,Price,Date,Date scraped
"Transavia France, Vueling",DUB,IBZ,17h 10m,1 stop,€103,11/12/2023,11/12/2023
Iberia,DUB,IBZ,12h 30m,1 stop,€286,11/12/2023,11/12/2023
"Vueling, Iberia",DUB,IBZ,6h 35m,2 stops,€361,11/12/2023,11/12/2023
Vueling,DUB,IBZ,22h 50m,1 stop,€103,11/12/2023,11/12/2023
Vueling,DUB,IBZ,12h 30m,1 stop,€341,11/12/2023,11/12/2023
Iberia,DUB,IBZ,16h 45m,1 stop,€293,11/12/2023,11/12/2023
Iberia Express,DUB,IBZ,12h 30m,1 stop,€318,11/12/2023,11/12/2023
"Transavia France, Vueling",DUB,IBZ,17h 00m,2 stops,€191,11/12/2023,11/12/2023
Multiple Airlines,DUB,IBZ,15h 55m,2 stops,€203,11/12/2023,11/12/2023
"Transavia France, Vueling",DUB,IBZ,17h 00m,2 stops,€193,11/12/2023,11/12/2023
"Transavia France, Vueling",DUB,IBZ,18h 00m,2 stops,€191,11/12/2023,11/12/2023
"Transavia France, Vueling",DUB,IBZ,18h 00m,2 stops,€193,11/12/2023,11/12/2023
"Transavia France, Vueling",DUB,IBZ,13h 25m,2 stops,€248,11/12/2023,11/12/2023
Vueling,DUB,IBZ,16h 45m,1 stop,€348,11/12/2023,11/12/2023
"Aer Lingus, Iberia",DUB,IBZ,14h 55m,1 stop,€322,11/12/2023,11/12/2023
Vueling,DUB,IBZ,7h 15m,1 stop,€151,12/12/2023,11/12/2023
Iberia,DUB,IBZ,24h 05m,1 stop,€145,12/12/2023,11/12/2023
"Aer Lingus, Vueling",DUB,IBZ,5h 40m,1 stop,€237,12/12/2023,11/12/2023
"Aer Lingus, Vueling",DUB,IBZ,6h 40m,1 stop,€230,12/12/2023,11/12/2023
Iberia,DUB,IBZ,5h 00m,1 stop,€391,12/12/2023,11/12/2023
Vueling,DUB,IBZ,5h 00m,1 stop,€401,12/12/2023,11/12/2023
"Vueling, Iberia",DUB,IBZ,6h 35m,2 stops,€220,12/12/2023,11/12/2023
"Aer Lingus, Air Europa",DUB,IBZ,5h 45m,1 stop,€345,12/12/2023,11/12/2023
Iberia Express,DUB,IBZ,5h 00m,1 stop,€394,12/12/2023,11/12/2023
"Aer Lingus, Vueling",DUB,IBZ,7h 25m,2 stops,€211,12/12/2023,11/12/2023
"Aer Lingus, Vueling",DUB,IBZ,9h 10m,1 stop,€237,12/12/2023,11/12/2023
British Airways,DUB,IBZ,4h 40m,1 stop,€692,12/12/2023,11/12/2023
"Iberia, Iberia Express",DUB,IBZ,8h 40m,1 stop,€271,12/12/2023,11/12/2023
Iberia,DUB,IBZ,7h 15m,1 stop,€431,12/12/2023,11/12/2023
Iberia,DUB,IBZ,8h 40m,1 stop,€281,12/12/2023,11/12/2023
"Vueling, Swiftair",DUB,IBZ,16h 30m,2 stops,€159,12/12/2023,11/12/2023
Air France,DUB,IBZ,28h 15m,2 stops,€323,13/12/2023,11/12/2023
