Airline,Source,Destination,Duration,Total stops,Price,Date,Date scraped
Vueling,DUB,TFN,9h 35m,1 stop,€160,13/12/2023,13/12/2023
"Aer Lingus, Binter Canarias",DUB,TFN,8h 40m,1 stop,€274,13/12/2023,13/12/2023
"Aer Lingus, Binter Canarias",DUB,TFN,10h 00m,1 stop,€274,13/12/2023,13/12/2023
"Iberia Express, Air Europa",DUB,TFN,13h 50m,1 stop,€249,13/12/2023,13/12/2023
Iberia,DUB,TFN,9h 35m,1 stop,€421,13/12/2023,13/12/2023
"Iberia, Air Europa",DUB,TFN,13h 50m,1 stop,€265,13/12/2023,13/12/2023
"Aer Lingus, Air Europa",DUB,TFN,13h 50m,1 stop,€266,13/12/2023,13/12/2023
"Iberia Express, Iberia",DUB,TFN,15h 35m,1 stop,€253,13/12/2023,13/12/2023
Iberia,DUB,TFN,15h 35m,1 stop,€270,13/12/2023,13/12/2023
Iberia,DUB,TFN,14h 20m,1 stop,€322,13/12/2023,13/12/2023
"Aer Lingus, Vueling",DUB,TFN,16h 25m,2 stops,€286,13/12/2023,13/12/2023
"Aer Lingus, Vueling",DUB,TFN,16h 25m,2 stops,€286,13/12/2023,13/12/2023
"Luxair, Binter Canarias",DUB,TFN,17h 05m,3 stops,€355,13/12/2023,13/12/2023
Multiple Airlines,DUB,TFN,14h 55m,2 stops,€467,13/12/2023,13/12/2023
Air France,DUB,TFN,12h 00m,2 stops,€689,13/12/2023,13/12/2023
"Aer Lingus, Binter Canarias",DUB,TFN,6h 30m,1 stop,€225,14/12/2023,13/12/2023
"Aer Lingus, Binter Canarias",DUB,TFN,7h 30m,1 stop,€197,14/12/2023,13/12/2023
"Aer Lingus, Vueling",DUB,TFN,7h 20m,1 stop,€258,14/12/2023,13/12/2023
Vueling,DUB,TFN,9h 10m,1 stop,€242,14/12/2023,13/12/2023
"Aer Lingus, Binter Canarias",DUB,TFN,8h 10m,1 stop,€247,14/12/2023,13/12/2023
"Aer Lingus, Binter Canarias",DUB,TFN,8h 45m,1 stop,€222,14/12/2023,13/12/2023
"Aer Lingus, Binter Canarias",DUB,TFN,9h 30m,1 stop,€247,14/12/2023,13/12/2023
Iberia,DUB,TFN,10h 10m,1 stop,€326,14/12/2023,13/12/2023
Multiple Airlines,DUB,TFN,9h 20m,2 stops,€240,14/12/2023,13/12/2023
Multiple Airlines,DUB,TFN,9h 40m,2 stops,€232,14/12/2023,13/12/2023
"Aer Lingus, Iberia Express",DUB,TFN,9h 15m,1 stop,€360,14/12/2023,13/12/2023
Multiple Airlines,DUB,TFN,9h 45m,2 stops,€240,14/12/2023,13/12/2023
Multiple Airlines,DUB,TFN,10h 20m,2 stops,€231,14/12/2023,13/12/2023
Iberia,DUB,TFN,13h 50m,1 stop,€266,14/12/2023,13/12/2023
Multiple Airlines,DUB,TFN,10h 50m,2 stops,€228,14/12/2023,13/12/2023
"Aer Lingus, Vueling",DUB,TFN,16h 55m,1 stop,€152,15/12/2023,13/12/2023
Multiple Airlines,DUB,TFN,9h 50m,2 stops,€194,15/12/2023,13/12/2023
Iberia,DUB,TFN,14h 25m,1 stop,€196,15/12/2023,13/12/2023
Multiple Airlines,DUB,TFN,9h 50m,2 stops,€252,15/12/2023,13/12/2023
"Aer Lingus, Binter Canarias",DUB,TFN,8h 40m,1 stop,€394,15/12/2023,13/12/2023
Iberia,DUB,TFN,19h 20m,1 stop,€211,15/12/2023,13/12/2023
Iberia,DUB,TFN,21h 40m,1 stop,€211,15/12/2023,13/12/2023
"Aer Lingus, Binter Canarias",DUB,TFN,9h 45m,1 stop,€394,15/12/2023,13/12/2023
"Vueling, Air Europa",DUB,TFN,17h 20m,2 stops,€198,15/12/2023,13/12/2023
"Aer Lingus, Air Europa",DUB,TFN,13h 55m,1 stop,€266,15/12/2023,13/12/2023
Iberia,DUB,TFN,15h 40m,1 stop,€307,15/12/2023,13/12/2023
"Aer Lingus, Vueling",DUB,TFN,16h 55m,1 stop,€252,15/12/2023,13/12/2023
Multiple Airlines,DUB,TFN,12h 20m,2 stops,€256,15/12/2023,13/12/2023
Multiple Airlines,DUB,TFN,12h 50m,2 stops,€256,15/12/2023,13/12/2023
Multiple Airlines,DUB,TFN,13h 50m,2 stops,€256,15/12/2023,13/12/2023
