Airline,Source,Destination,Duration,Total stops,Price,Date,Date scraped
Vueling,IBZ,DUB,18h 40m,1 stop,€95,11/12/2023,09/12/2023
British Airways,IBZ,DUB,7h 20m,1 stop,€267,11/12/2023,09/12/2023
"Iberia, British Airways",IBZ,DUB,7h 20m,1 stop,€291,11/12/2023,09/12/2023
"Vueling, Aer Lingus",IBZ,DUB,7h 55m,2 stops,€227,11/12/2023,09/12/2023
British Airways,IBZ,DUB,7h 45m,1 stop,€305,11/12/2023,09/12/2023
British Airways,IBZ,DUB,6h 20m,1 stop,€360,11/12/2023,09/12/2023
Iberia,IBZ,DUB,17h 45m,1 stop,€189,11/12/2023,09/12/2023
British Airways,IBZ,DUB,8h 45m,1 stop,€294,11/12/2023,09/12/2023
"Swiftair, Iberia",IBZ,DUB,15h 50m,2 stops,€135,11/12/2023,09/12/2023
"Air Europa, Iberia",IBZ,DUB,15h 50m,2 stops,€137,11/12/2023,09/12/2023
"Iberia, British Airways",IBZ,DUB,6h 20m,1 stop,€396,11/12/2023,09/12/2023
British Airways,IBZ,DUB,8h 25m,1 stop,€315,11/12/2023,09/12/2023
"Iberia, British Airways",IBZ,DUB,7h 45m,1 stop,€336,11/12/2023,09/12/2023
British Airways,IBZ,DUB,7h 10m,1 stop,€360,11/12/2023,09/12/2023
Iberia,IBZ,DUB,5h 55m,1 stop,€434,11/12/2023,09/12/2023
Vueling,IBZ,DUB,7h 20m,1 stop,€72,12/12/2023,09/12/2023
Vueling,IBZ,DUB,13h 40m,1 stop,€54,12/12/2023,09/12/2023
"Vueling, Aer Lingus",IBZ,DUB,6h 40m,1 stop,€170,12/12/2023,09/12/2023
Vueling,IBZ,DUB,15h 55m,1 stop,€70,12/12/2023,09/12/2023
British Airways,IBZ,DUB,7h 45m,1 stop,€234,12/12/2023,09/12/2023
"Iberia, British Airways",IBZ,DUB,7h 40m,2 stops,€167,12/12/2023,09/12/2023
Vueling,IBZ,DUB,18h 20m,1 stop,€70,12/12/2023,09/12/2023
British Airways,IBZ,DUB,7h 20m,1 stop,€257,12/12/2023,09/12/2023
Vueling,IBZ,DUB,19h 20m,1 stop,€74,12/12/2023,09/12/2023
