Airline,Source,Destination,Duration,Total stops,Price,Date,Date scraped
Vueling,DUB,MAD,2h 35m,direct,€167,13/12/2023,13/12/2023
Vueling,DUB,MAD,11h 15m,1 stop,€95,13/12/2023,13/12/2023
Iberia Express,DUB,MAD,2h 35m,direct,€168,13/12/2023,13/12/2023
Iberia,DUB,MAD,2h 35m,direct,€179,13/12/2023,13/12/2023
Aer Lingus,DUB,MAD,2h 35m,direct,€188,13/12/2023,13/12/2023
KLM,DUB,MAD,5h 10m,1 stop,€273,13/12/2023,13/12/2023
"Vueling, Air Europa",DUB,MAD,6h 20m,1 stop,€186,13/12/2023,13/12/2023
KLM,DUB,MAD,5h 05m,1 stop,€326,13/12/2023,13/12/2023
"Vueling, Iberia",DUB,MAD,6h 25m,1 stop,€196,13/12/2023,13/12/2023
"Transavia France, Iberia",DUB,MAD,12h 40m,1 stop,€125,13/12/2023,13/12/2023
"Transavia France, Iberia",DUB,MAD,12h 20m,1 stop,€127,13/12/2023,13/12/2023
Air France,DUB,MAD,5h 30m,1 stop,€320,13/12/2023,13/12/2023
"Transavia France, easyJet",DUB,MAD,12h 35m,1 stop,€133,13/12/2023,13/12/2023
Lufthansa,DUB,MAD,5h 55m,1 stop,€323,13/12/2023,13/12/2023
KLM,DUB,MAD,6h 15m,1 stop,€326,13/12/2023,13/12/2023
Aer Lingus,DUB,MAD,2h 50m,direct,€201,14/12/2023,13/12/2023
Aer Lingus,DUB,MAD,2h 50m,direct,€199,14/12/2023,13/12/2023
"Vueling, Air Europa",DUB,MAD,10h 50m,1 stop,€87,14/12/2023,13/12/2023
Iberia,DUB,MAD,2h 50m,direct,€210,14/12/2023,13/12/2023
Vueling,DUB,MAD,6h 45m,1 stop,€119,14/12/2023,13/12/2023
"Vueling, Iberia",DUB,MAD,5h 20m,1 stop,€148,14/12/2023,13/12/2023
Aer Lingus,DUB,MAD,2h 35m,direct,€274,14/12/2023,13/12/2023
Iberia Express,DUB,MAD,2h 35m,direct,€276,14/12/2023,13/12/2023
Vueling,DUB,MAD,2h 35m,direct,€277,14/12/2023,13/12/2023
Iberia,DUB,MAD,2h 35m,direct,€281,14/12/2023,13/12/2023
Iberia,DUB,MAD,2h 35m,direct,€281,14/12/2023,13/12/2023
Aer Lingus,DUB,MAD,2h 35m,direct,€301,14/12/2023,13/12/2023
Iberia,DUB,MAD,2h 35m,direct,€308,14/12/2023,13/12/2023
Iberia Express,DUB,MAD,2h 35m,direct,€377,14/12/2023,13/12/2023
Vueling,DUB,MAD,2h 35m,direct,€405,14/12/2023,13/12/2023
"Vueling, Iberia",DUB,MAD,7h 05m,1 stop,€153,14/12/2023,13/12/2023
Aer Lingus,DUB,MAD,2h 35m,direct,€157,15/12/2023,13/12/2023
Iberia,DUB,MAD,2h 35m,direct,€148,15/12/2023,13/12/2023
Vueling,DUB,MAD,5h 25m,1 stop,€117,15/12/2023,13/12/2023
Aer Lingus,DUB,MAD,2h 35m,direct,€157,15/12/2023,13/12/2023
Vueling,DUB,MAD,2h 35m,direct,€167,15/12/2023,13/12/2023
Iberia Express,DUB,MAD,2h 35m,direct,€172,15/12/2023,13/12/2023
British Airways,DUB,MAD,2h 35m,direct,€216,15/12/2023,13/12/2023
Iberia,DUB,MAD,2h 35m,direct,€321,15/12/2023,13/12/2023
Aer Lingus,DUB,MAD,2h 35m,direct,€324,15/12/2023,13/12/2023
British Airways,DUB,MAD,2h 35m,direct,€369,15/12/2023,13/12/2023
Aer Lingus,DUB,MAD,2h 50m,direct,€385,15/12/2023,13/12/2023
Iberia,DUB,MAD,2h 50m,direct,€428,15/12/2023,13/12/2023
British Airways,DUB,MAD,2h 50m,direct,€476,15/12/2023,13/12/2023
"Vueling, Iberia",DUB,MAD,5h 55m,1 stop,€150,15/12/2023,13/12/2023
"Aer Lingus, Air Europa",DUB,MAD,6h 10m,1 stop,€152,15/12/2023,13/12/2023
"TAP AIR PORTUGAL, Iberia",DUB,MAD,5h 20m,1 stop,€222,15/12/2023,13/12/2023
